Date,Close,Volume,DailyReturn
11/06/2025,269.77,51204050,
11/05/2025,270.14,43683070,0.14
11/04/2025,270.04,49274850,-0.04
11/03/2025,269.05,50194580,-0.37
10/31/2025,270.37,86167120,0.49
10/30/2025,271.40,69886530,0.38
10/29/2025,269.70,51086740,-0.63
10/28/2025,269.00,41534760,-0.26
10/27/2025,268.81,44888150,-0.07
10/24/2025,262.82,38253720,-2.23
10/23/2025,259.58,32754940,-1.23
10/22/2025,258.45,45015250,-0.44
10/21/2025,262.77,46695950,1.67
10/20/2025,262.24,90483030,-0.20
10/17/2025,252.29,49146960,-3.79
10/16/2025,247.45,39776970,-1.92
10/15/2025,249.34,33893610,0.76
10/14/2025,247.77,35477990,-0.63
10/13/2025,247.66,38142940,-0.04
10/10/2025,245.27,61999100,-0.97
10/09/2025,254.04,38322010,3.58
10/08/2025,258.06,36496900,1.58
10/07/2025,256.48,31955780,-0.61
10/06/2025,256.69,44664120,0.08
10/03/2025,258.02,49155610,0.52
10/02/2025,257.13,42630240,-0.34
10/01/2025,255.45,48713940,-0.65
09/30/2025,254.63,37704260,-0.32
09/29/2025,254.43,40127690,-0.08
09/26/2025,255.46,46076260,0.40
09/25/2025,256.87,55202080,0.55
09/24/2025,252.31,42303710,-1.78
09/23/2025,254.43,60275190,0.84
09/22/2025,256.08,105517400,0.65
09/19/2025,245.50,163741300,-4.13
09/18/2025,237.88,44249580,-3.10
09/17/2025,238.99,46508020,0.47
09/16/2025,238.15,63421100,-0.35
09/15/2025,236.70,42699520,-0.61
09/12/2025,234.07,55824220,-1.11
09/11/2025,230.03,50208580,-1.73
09/10/2025,226.79,83440810,-1.41
09/09/2025,234.35,66313920,3.33
09/08/2025,237.88,48999500,1.51
09/05/2025,239.69,54870400,0.76
09/04/2025,239.78,47549430,0.04
09/03/2025,238.47,66427840,-0.55
09/02/2025,229.72,44075640,-3.67
08/29/2025,232.14,39418440,1.05
08/28/2025,232.56,38074700,0.18
08/27/2025,230.49,31259510,-0.89
08/26/2025,229.31,54575110,-0.51
08/25/2025,227.16,30983130,-0.94
08/22/2025,227.76,42477810,0.26
08/21/2025,224.90,30621250,-1.26
08/20/2025,226.01,42263870,0.49
08/19/2025,230.56,39402560,2.01
08/18/2025,230.89,37476190,0.14
08/15/2025,231.59,56038660,0.30
08/14/2025,232.78,51916280,0.51
08/13/2025,233.33,69878550,0.24
08/12/2025,229.65,55672300,-1.58
08/11/2025,227.18,61806130,-1.08
08/08/2025,229.35,113854000,0.96
08/07/2025,220.03,90224830,-4.06
08/06/2025,213.25,108483100,-3.08
08/05/2025,202.92,44155080,-4.84
08/04/2025,203.35,75109300,0.21
08/01/2025,202.38,104434500,-0.48
07/31/2025,207.57,80698430,2.56
07/30/2025,209.05,45512510,0.71
07/29/2025,211.27,51411720,1.06
07/28/2025,214.05,37858020,1.32
07/25/2025,213.88,40268780,-0.08
07/24/2025,213.76,46022620,-0.06
07/23/2025,214.15,46989300,0.18
07/22/2025,214.40,46404070,0.12
07/21/2025,212.48,51377430,-0.90
07/18/2025,211.18,48974590,-0.61
07/17/2025,210.02,48068140,-0.55
07/16/2025,210.16,47490530,0.07
07/15/2025,209.11,42296340,-0.50
07/14/2025,208.62,38840110,-0.23
07/11/2025,211.16,39765810,1.22
07/10/2025,212.41,44443640,0.59
07/09/2025,211.14,48749370,-0.60
07/08/2025,210.01,42848930,-0.54
07/07/2025,209.95,50228980,-0.03
07/03/2025,213.55,34955840,1.71
07/02/2025,212.44,67941810,-0.52
07/01/2025,207.82,78788870,-2.17
06/30/2025,205.17,91912820,-1.28
06/27/2025,201.08,73188570,-1.99
06/26/2025,201.00,50799120,-0.04
06/25/2025,201.56,39525730,0.28
06/24/2025,200.30,54064030,-0.63
06/23/2025,201.50,55814270,0.60
06/20/2025,201.00,96813540,-0.25
06/18/2025,196.58,45394690,-2.20
06/17/2025,195.64,38856150,-0.48
06/16/2025,198.42,43020690,1.42
06/13/2025,196.45,51447350,-0.99
06/12/2025,199.20,43904640,1.40
06/11/2025,198.78,60989860,-0.21
06/10/2025,202.67,54672610,1.96
06/09/2025,201.45,72862560,-0.60
06/06/2025,203.92,46607690,1.23
06/05/2025,200.63,55221240,-1.61
06/04/2025,202.82,43603990,1.09
06/03/2025,203.27,46381570,0.22
06/02/2025,201.70,35423290,-0.77
05/30/2025,200.85,70819940,-0.42
05/29/2025,199.95,51477940,-0.45
05/28/2025,200.42,45339680,0.24
05/27/2025,200.21,56288480,-0.10
05/23/2025,195.27,78432920,-2.47
05/22/2025,201.36,46742410,3.12
05/21/2025,202.09,59211770,0.36
05/20/2025,206.86,42496640,2.36
05/19/2025,208.78,46140530,0.93
05/16/2025,211.26,54737850,1.19
05/15/2025,211.45,45029470,0.09
05/14/2025,212.33,49325830,0.42
05/13/2025,212.93,51909330,0.28
05/12/2025,210.79,63775810,-1.01
05/09/2025,198.53,36453920,-5.82
05/08/2025,197.49,50478870,-0.52
05/07/2025,196.25,68616940,-0.63
05/06/2025,198.51,51216480,1.15
05/05/2025,198.89,69018450,0.19
05/02/2025,205.35,101010600,3.25
05/01/2025,213.32,57365680,3.88
04/30/2025,212.50,52286450,-0.38
04/29/2025,211.21,36827630,-0.61
04/28/2025,210.14,38743070,-0.51
04/25/2025,209.28,38222260,-0.41
04/24/2025,208.37,47310990,-0.43
04/23/2025,204.60,52929170,-1.81
04/22/2025,199.74,52976370,-2.38
04/21/2025,193.16,46742540,-3.29
04/17/2025,196.98,52164680,1.98
04/16/2025,194.27,59732420,-1.38
04/15/2025,202.14,51343870,4.05
04/14/2025,202.52,101352900,0.19
04/11/2025,198.15,87435920,-2.16
04/10/2025,190.42,121880000,-3.90
04/09/2025,198.85,184395900,4.43
04/08/2025,172.42,120859500,-13.29
04/07/2025,181.46,160466300,5.24
04/04/2025,188.38,125910900,3.81
04/03/2025,203.19,103419000,7.86
04/02/2025,223.89,35905900,10.19
04/01/2025,223.19,36412740,-0.31
03/31/2025,222.13,65299320,-0.47
03/28/2025,217.90,39818620,-1.90
03/27/2025,223.85,37094770,2.73
03/26/2025,221.53,34532660,-1.04
03/25/2025,223.75,34493580,1.00
03/24/2025,220.73,44299480,-1.35
03/21/2025,218.27,94127770,-1.11
03/20/2025,214.10,48862950,-1.91
03/19/2025,215.24,54385390,0.53
03/18/2025,212.69,42432430,-1.18
03/17/2025,214.00,48073430,0.62
03/14/2025,213.49,60107580,-0.24
03/13/2025,209.68,61368330,-1.78
03/12/2025,216.98,62547470,3.48
03/11/2025,220.84,76137410,1.78
03/10/2025,227.48,72071200,3.01
03/07/2025,239.07,46273570,5.09
03/06/2025,235.33,45170420,-1.56
03/05/2025,235.74,47227640,0.17
03/04/2025,235.93,53798060,0.08
03/03/2025,238.03,47183990,0.89
02/28/2025,241.84,56833360,1.60
02/27/2025,237.30,41153640,-1.88
02/26/2025,240.36,44433560,1.29
02/25/2025,247.04,48013270,2.78
02/24/2025,247.10,51326400,0.02
02/21/2025,245.55,53197430,-0.63
02/20/2025,245.83,32316910,0.11
02/19/2025,244.87,32204220,-0.39
02/18/2025,244.47,48822490,-0.16
02/14/2025,244.60,40896230,0.05
02/13/2025,241.53,53614050,-1.26
02/12/2025,236.87,45243290,-1.93
02/11/2025,232.62,53718360,-1.79
02/10/2025,227.65,33115650,-2.14
02/07/2025,227.63,39707220,-0.01
02/06/2025,233.22,29925350,2.46
02/05/2025,232.47,39664990,-0.32
02/04/2025,232.80,45067300,0.14
02/03/2025,228.01,73063300,-2.06
01/31/2025,236.00,101075100,3.50
01/30/2025,237.59,55658280,0.67
01/29/2025,239.36,45486100,0.74
01/28/2025,238.26,75707570,-0.46
01/27/2025,229.86,94863420,-3.53
01/24/2025,222.78,54697910,-3.08
01/23/2025,223.66,60234760,0.40
01/22/2025,223.83,64126500,0.08
01/21/2025,222.64,98070430,-0.53
01/17/2025,229.98,68488300,3.30
01/16/2025,228.26,71759050,-0.75
01/15/2025,237.87,39831970,4.21
01/14/2025,233.28,39435290,-1.93
01/13/2025,234.40,49630730,0.48
01/10/2025,236.85,61710860,1.05
01/08/2025,242.70,37628940,2.47
01/07/2025,242.21,40855960,-0.20
01/06/2025,245.00,45045570,1.15
01/03/2025,243.36,40244110,-0.67
01/02/2025,243.85,55740730,0.20
12/31/2024,250.42,39480720,2.69
12/30/2024,252.20,35557540,0.71
12/27/2024,255.59,42355320,1.34
12/26/2024,259.02,27262980,1.34
12/24/2024,258.20,23234710,-0.32
12/23/2024,255.27,40858770,-1.13
12/20/2024,254.49,147495300,-0.31
12/19/2024,249.79,60882260,-1.85
12/18/2024,248.05,56774100,-0.70
12/17/2024,253.48,51356360,2.19
12/16/2024,251.04,51694750,-0.96
12/13/2024,248.13,33155290,-1.16
12/12/2024,247.96,32777530,-0.07
12/11/2024,246.49,45205810,-0.59
12/10/2024,247.77,36914810,0.52
12/09/2024,246.75,44649230,-0.41
12/06/2024,242.84,36870620,-1.58
12/05/2024,243.04,40033880,0.08
12/04/2024,243.01,44383940,-0.01
12/03/2024,242.65,38861020,-0.15
12/02/2024,239.59,48137100,-1.26
11/29/2024,237.33,28481380,-0.94
11/27/2024,234.93,33498440,-1.01
11/26/2024,235.06,45986190,0.06
11/25/2024,232.87,90152830,-0.93
11/22/2024,229.87,38168250,-1.29
11/21/2024,228.52,42108330,-0.59
11/20/2024,229.00,35169570,0.21
11/19/2024,228.28,36211770,-0.31
11/18/2024,228.02,44686020,-0.11
11/15/2024,225.00,47923700,-1.32
11/14/2024,228.22,44923940,1.43
11/13/2024,225.12,48566220,-1.36
11/12/2024,224.23,40398300,-0.40
11/11/2024,224.23,42005600,0.00
11/08/2024,226.96,38328820,1.22
11/07/2024,227.48,42137690,0.23
